Dataset,Limiar,Cost,Quality,Time,Memory
graph,279,279,1.0,0.0,0.09
eil51,426,559,1.31,0.07,0.86
st70,675,882,1.31,0.14,1.37
eil76,538,687,1.28,0.18,1.54
pr76,108159,129686,1.2,0.1,1.53
rat99,1211,1578,1.3,0.22,2.9
kroA100,21282,30274,1.42,0.27,2.97
kroB100,22141,26948,1.22,0.28,2.98
kroC100,20749,27899,1.34,0.26,2.98
kroD100,21294,28269,1.33,0.26,2.97
kroE100,22068,30207,1.37,0.34,2.97
rd100,7910,11127,1.41,0.39,2.98
eil101,629,827,1.31,0.47,3.03
lin105,14379,20269,1.41,0.26,3.2
pr107,44303,57504,1.3,0.21,3.32
pr124,59030,79765,1.35,0.23,4.22
bier127,118282,141205,1.19,0.88,4.32
ch130,6110,7852,1.29,0.39,4.58
pr136,96772,127095,1.31,0.22,4.93
pr144,58537,66960,1.14,0.3,5.43
ch150,6528,8432,1.29,0.49,5.83
kroA150,26524,37661,1.42,1.21,5.73
kroB150,26130,35378,1.35,0.94,5.84
pr152,73682,96785,1.31,0.33,5.87
u159,42080,55610,1.32,0.71,6.43
rat195,2323,2909,1.25,1.41,10.93
d198,15780,19810,1.26,1.56,11.22
kroA200,29368,41635,1.42,2.47,11.29
kroB200,29437,39030,1.33,1.92,11.29
ts225,126643,167939,1.33,0.68,13.75
tsp225,3919,5543,1.41,1.89,13.75
pr226,80369,120830,1.5,1.47,13.96
gil262,2378,3276,1.38,3.99,17.94
pr264,49135,70564,1.44,1.62,18.05
a280,2579,3636,1.41,3.2,19.96
pr299,48191,64460,1.34,4.23,22.37
lin318,42029,58812,1.4,5.54,24.92
linhp318,41345,58812,1.42,5.49,25.06
rd400,15281,20734,1.36,15.91,44.58
fl417,11861,18108,1.53,7.07,47.78
pr439,107217,143721,1.34,7.49,52.1
pcb442,50778,68438,1.35,12.69,52.7
d493,35002,46699,1.33,20.21,63.61
u574,36905,49882,1.35,32.01,82.7
rat575,6773,9340,1.38,36.99,82.82
p654,34643,50577,1.46,8.2,103.98
d657,48912,64236,1.31,47.16,104.79
u724,41910,58226,1.39,61.73,150.14
rat783,8806,12240,1.39,91.02,170.98
pr1002,259045,351288,1.36,136.91,259.7
u1060,224094,298424,1.33,177.6,286.22
vm1084,239297,331619,1.39,96.43,297.42
pcb1173,56892,81729,1.44,169.93,341.47
d1291,50801,68462,1.35,53.66,404.23
rl1304,252948,365738,1.45,53.62,411.5
rl1323,270199,370647,1.37,55.09,422.18
nrw1379,56638,79122,1.4,583.38,551.68
fl1400,20127,32595,1.62,536.25,565.52
u1432,152970,207672,1.36,184.09,587.02
fl1577,"[22204,22249]",30895,1.39,125.95,689.15
d1655,62128,84586,1.36,234.18,747.25
vm1748,336556,475615,1.41,343.27,819.67
u1817,57201,79087,1.38,265.39,875.41
rl1889,316536,435392,1.38,156.98,935.52
d2103,"[79952,80450]",93231,1.17,63.11,1125.52
u2152,64253,88619,1.38,385.55,1171.45
u2319,234256,317225,1.35,1351.74,1334.73
pr2392,378032,527656,1.4,1271.92,1409.36
pcb3038,137694,186188,1.35,2681.11,2584.41
fl3795,"[28723,28772]",42836,1.49,2602.81,3765.1
